subject,strategy,condition,l_length,pres_rate,prop_wrong
A24GX1OZE6AY04,ns,15-2,15.0,2000.0,0.020833333333333332
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,0.041666666666666664
A26T0U2Y6LZOF3,rec,15-2,15.0,2000.0,0.5416666666666667
A29J4LL0MQL3AC,prim,15-2,15.0,2000.0,0.125
A2G4R0GS677RC2,rec,15-2,15.0,2000.0,0.5
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,0.08333333333333333
A2KZN3UH5NGC9,rec,15-2,15.0,2000.0,0.10416666666666666
A2MBFIAGBPU5NG,prim,15-2,15.0,2000.0,0.25
A2O86E23R5T4YO,prim,15-2,15.0,2000.0,0.2765151515151515
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,0.020833333333333332
A2R75YFKVALBXE,rec,15-2,15.0,2000.0,0.0
A2RU1Q3C9VHBAO,prim,15-2,15.0,2000.0,0.041666666666666664
A2RVG8Y97DE0GM,prim,15-2,15.0,2000.0,0.3125
A2UJ9GDNVPX99C,prim,15-2,15.0,2000.0,0.3125
A2UYZFH5VT5R3H,rec,15-2,15.0,2000.0,0.0
A2Y8LZS5C81O25,prim,15-2,15.0,2000.0,0.14583333333333331
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,0.3333333333333333
A310Y949ILSN3P,prim,15-2,15.0,2000.0,0.20833333333333334
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,0.22916666666666666
A347RDI3HZOUCY,prim,15-2,15.0,2000.0,0.125
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,0.25
A34IPEKX5WXJIN,prim,15-2,15.0,2000.0,0.19886363636363635
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,0.020833333333333332
A35VI4SE31HD17,prim,15-2,15.0,2000.0,0.35416666666666663
A36S0DI86PL4J6,prim,15-2,15.0,2000.0,0.3541666666666667
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,0.25
A38DHLB88V8DL8,rec,15-2,15.0,2000.0,0.020833333333333332
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,0.625
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,0.22916666666666666
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,0.625
A3C25IBTLB60RQ,prim,15-2,15.0,2000.0,0.13636363636363635
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,0.041666666666666664
