subject,strategy,condition,l_length,pres_rate,rot_7,rot_6,rot_5,rot_4,rot_3,rot_2,rot_1,rot_0
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,,,,3774.825530306195,3923.0356060604972,4511.942803032499,5653.884545449182,7756.556439396118
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,,,,3423.95642855508,2650.7168750703336,3308.6464285850525,2553.309881091118,5847.159523640359
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,,,,5217.635984848484,4294.220075757576,4823.280303030302,5151.284090909091,5098.308712121212
A50UY1556VDIA,ns,20-1,20.0,1000.0,,,,4439.875,4749.575,6565.65,6847.0,7648.425
A7R1OLLU1Z6RA,rec,20-1,20.0,1000.0,,,,2297.382929288513,2813.379549061607,3310.6817821230834,5321.6436111018065,4637.259285718983
AC7CDW53I98JT,prim,20-1,20.0,1000.0,,,,5311.175505050505,5816.29577020202,5624.347222222222,5517.830952380952,5926.636111111111
AEJU0MCYOQC77,prim,20-1,20.0,1000.0,,,,5037.518518518518,4277.625,4533.313756613757,4474.791666666667,4237.611111111111
AHU3EE2Q05E18,prim,20-1,20.0,1000.0,,,,5378.129464234624,6167.448200792526,5255.0574495142155,5428.821230178787,5130.085119045917
AJD90361AJO80,ns,20-1,20.0,1000.0,,,,8187.167045454546,7056.00625,7773.287878787878,7488.344318181818,8922.125
AK52RXEJKR81A,ns,20-1,20.0,1000.0,,,,3651.6535690442483,3749.460303060936,3928.8566667965483,4252.116666573065,3889.4693939844765
AMJAZPJBO936R,prim,20-1,20.0,1000.0,,,,8238.650000015894,9833.666666653422,5862.113750004768,7555.305555555555,6484.441666613022
AOQZVAH5FSKGE,prim,20-1,20.0,1000.0,,,,3647.01875,4050.713095238095,3745.483333333333,3895.1277777777777,4482.219246031746
AQCJI23U1VBYD,prim,20-1,20.0,1000.0,,,,3096.3845833420755,3664.4177777568493,4159.054761910722,4559.261785711916,4311.793333367507
AQPFTUIJ0PW2N,prim,20-1,20.0,1000.0,,,,7627.0,7858.0,5243.666666666667,4101.333333333333,5840.5
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,,,,7482.597222222222,4799.555555555556,4862.833333333333,5220.985185185185,4933.100529100529
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,,,,4839.875396837318,5463.832671957673,4546.408333351214,5397.634722216262,6648.409722222223
AZZA3J049G7R5,rec,20-1,20.0,1000.0,,,,3410.3700000000586,3486.8450000000184,3099.5799999999817,5419.536904761756,6549.2357142857345
A102RSV009OCUW,prim,15-2,15.0,2000.0,,,,3829.580952380952,3945.717261904762,4026.734523809524,3897.0708333333328,4157.473214285714
A11BHGAKU0RIH8,rec,15-2,15.0,2000.0,,,,10673.433333333582,11583.18333333265,11343.453333333631,13697.118333333234,10700.571428569123
A13GBA16BNTN1A,rec,15-2,15.0,2000.0,,,,4053.9924242424245,3778.1241161616163,3699.564141414141,3679.703093434343,4371.455176767677
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,,,,3471.410714282699,3495.779166660848,3425.707936501692,3365.0642857108533,3078.3964285676675
A150QX2OXHGK8P,rec,15-2,15.0,2000.0,,,,7109.879166666667,6604.719642857143,7289.991071428572,7394.275,6953.55
A151XA53WYXVD7,prim,15-2,15.0,2000.0,,,,4074.475,3674.366666666667,3646.7000000000003,3718.666666666667,5804.31875
A1618RA11ZOD8Y,rec,15-2,15.0,2000.0,,,,2981.9249999920526,2956.8412499099973,2911.291666679912,3873.1833333174386,4264.105000027021
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,,,,2882.8291666693985,2739.5695238115,2494.468928576101,3970.5691666676353,6189.401934522455
A1CFMY4CEYOM8Y,rec,15-2,15.0,2000.0,,,,2976.7666666664495,2294.5333333342955,5201.26666666676,4863.899999999208,14742.133333333613
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,,,,4115.518518518518,5171.666666666667,4883.708333333334,4252.59375,3984.8809523809523
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,,,,2158.0089285718277,2648.3958333355376,2185.479740259047,3111.264166674623,5882.875833332167
A1PZIN8H1VI6SY,prim,15-2,15.0,2000.0,,,,3233.992063517293,3389.5483333826064,3089.3422222548056,2990.689880935919,4280.566666682561
A1QRIZY9WJW3R1,prim,15-2,15.0,2000.0,,,,3613.047619047619,3580.266369047619,3334.5,4277.803571428572,3414.0535714285716
A1QXJZFA5NVGM3,prim,15-2,15.0,2000.0,,,,3667.2083333333335,3359.142857142857,4202.958333333334,3805.9166666666665,4724.4
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,,,,2439.0065476193295,2083.0166666651303,2569.816964285566,2168.574999997082,2147.1136904768177
A1SCF3L6LTFQHF,prim,15-2,15.0,2000.0,,,,1745.0000000178813,2169.6333332955837,2753.5666667156747,2803.2599999348326,2964.266666712364
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,,,,6585.716974431865,6704.115932449375,6968.669281249895,8084.356053571392,11364.556223484724
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,,,,3582.8333333333335,3492.527777777778,4244.083333333333,3868.1666666666665,4082.377777777778
A1UOP419O6P55R,prim,15-2,15.0,2000.0,,,,5775.11111111111,5701.833333333333,5495.599999999999,5186.099999999999,7510.690476190476
A1WM3INNDW2776,ns,15-2,15.0,2000.0,,,,5058.1305555555555,5422.646825396825,5269.927777777778,5962.5361111111115,5749.805555555556
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,,,,6197.200000047684,5891.250000052983,5016.236507907747,5019.791111099058,5382.624999984862
A2113B699TVADG,prim,15-2,15.0,2000.0,,,,5525.285714285714,4206.708333333333,4566.75,4727.1875,4867.75
A219SZBLCCCXN9,prim,15-2,15.0,2000.0,,,,5561.566666856408,6881.104166685542,8316.746666600306,5261.0805555433035,5211.056250035763
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,,,,2986.6744444457054,3358.512592593525,3424.010000001888,5155.631481482888,4162.446666667362
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,,,,2518.7871212223263,2684.2349999864896,4194.477857148648,4441.453968261915,7662.123484846317
A233LLG8YAXWF,rec,15-2,15.0,2000.0,,,,3574.6625000004033,3776.8052083348157,4576.0529761895805,4993.656944443627,10978.276666665419
A24GX1OZE6AY04,ns,15-2,15.0,2000.0,,,,2553.3987499998825,2670.306249999834,2859.9587500000403,4182.57875000021,6220.220833333675
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,,,,3705.8605357370207,4599.277500028411,5213.18615079437,11572.116558453014,10227.260000044604
A26T0U2Y6LZOF3,rec,15-2,15.0,2000.0,,,,3370.875,4663.625,2893.1,6594.6,8173.2
A29J4LL0MQL3AC,prim,15-2,15.0,2000.0,,,,4911.161458338585,4096.747500008252,4112.675277790509,4411.257500003713,4524.657727258551
A2G4R0GS677RC2,rec,15-2,15.0,2000.0,,,,3119.875,3051.208333333333,6369.166666666666,2995.375,4551.0
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,,,,4572.837698408961,4701.6833333200875,4839.571388915181,4936.875000004257,6429.998859102763
A2KZN3UH5NGC9,rec,15-2,15.0,2000.0,,,,3073.579166650772,3257.8166667222977,3024.333333293597,4406.999999996026,3529.741249954701
A2MBFIAGBPU5NG,prim,15-2,15.0,2000.0,,,,3931.620535714286,3790.8944444444446,3716.3958333333335,3957.1026785714284,3950.7321428571427
A2O86E23R5T4YO,prim,15-2,15.0,2000.0,,,,4607.334047586293,5221.450625007104,5096.287500004595,4739.260208346198,5073.812599195019
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,,,,2071.9557196978026,1870.4808080683865,2679.35250000002,2543.210833334054,3635.425416670988
A2R75YFKVALBXE,rec,15-2,15.0,2000.0,,,,5448.744090899012,5656.399166666468,6026.08409090882,7653.715833327175,11599.029292932664
A2RU1Q3C9VHBAO,prim,15-2,15.0,2000.0,,,,3127.695932539683,3556.5753968253966,3763.006818181818,4647.285416666667,3814.378968253968
A2RVG8Y97DE0GM,prim,15-2,15.0,2000.0,,,,4004.2416666587815,4142.437500001474,3590.9041666736207,2936.037500008863,6971.801249978691
A2UJ9GDNVPX99C,prim,15-2,15.0,2000.0,,,,3185.6354166666665,3523.8749999999995,3318.8125,3286.793154761905,5074.595833333334
A2UYZFH5VT5R3H,rec,15-2,15.0,2000.0,,,,3671.1734595878706,3606.766666666832,3589.5367171761964,4465.187500005588,5417.285625000919
A2Y8LZS5C81O25,prim,15-2,15.0,2000.0,,,,5310.116666666667,4922.6463293650795,4831.418452380953,5463.0734126984125,5298.829166666666
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,,,,4398.963611004088,4828.895833326521,6856.823908743404,4860.5342560427525,5172.151666561763
A310Y949ILSN3P,prim,15-2,15.0,2000.0,,,,2529.0583333333334,3331.554166666667,2659.5416666666665,2727.1,3350.6041666666665
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,,,,3402.0666666666666,4206.964285714286,3698.5625,5998.226190476191,4548.65
A347RDI3HZOUCY,prim,15-2,15.0,2000.0,,,,3179.3432539682544,3858.759722222222,2859.717361111111,3016.370535714286,2835.8416666666662
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,,,,6930.840892857242,4551.225000000852,4633.739583340163,5843.962142845881,7839.491369040771
A34IPEKX5WXJIN,prim,15-2,15.0,2000.0,,,,2900.8098484848488,2963.075974025974,4141.113492063492,3058.287878787879,3430.3863636363635
