subject,condition,l_length,pres_rate,prim_pfr,middle_pfr,rec_pfr,prim_effect,rec_effect,rec_prim_bias,rec_prim_bias_bool,condition_mu
A2QX1SJXQN1NV1,20-1,20.0,1000.0,0.4583333333333333,0.08333333333333333,0.125,True,True,-0.3333333333333333,False,rec
A2QY653X9531JP,20-1,20.0,1000.0,0.12499999999999999,0.19318181818181818,0.4715909090909091,False,True,0.3465909090909091,True,rec
A2RBF3IIJP15IH,20-1,20.0,1000.0,0.020833333333333332,0.24999999999999997,0.6458333333333334,False,True,0.625,True,rec
A2RWLFIP23FZA7,20-1,20.0,1000.0,0.6458333333333334,0.041666666666666664,0.16666666666666666,True,True,-0.47916666666666674,False,rec
A2SBZCFAVT83GN,20-1,20.0,1000.0,0.0,0.027777777777777776,0.9444444444444444,False,True,0.9444444444444444,True,rec
A2SQGKP2REXOTN,20-1,20.0,1000.0,0.8333333333333333,0.0,0.027777777777777776,True,True,-0.8055555555555555,False,rec
A2SQTRNQWDLU4F,20-1,20.0,1000.0,0.5,0.25,0.08333333333333333,True,False,-0.4166666666666667,False,rec
A2SWQM5X54P1O5,20-1,20.0,1000.0,0.0,0.37499999999999994,0.6041666666666667,False,True,0.6041666666666667,True,rec
A2TG5ESEOPXAHI,20-1,20.0,1000.0,0.625,0.020833333333333332,0.0,True,False,-0.625,False,rec
A2V6E7SGEU0EFD,20-1,20.0,1000.0,0.0,0.375,0.625,False,True,0.625,True,rec
A2VXT33Y2TQPOQ,20-1,20.0,1000.0,0.8049242424242424,0.022727272727272728,0.020833333333333332,True,False,-0.7840909090909091,False,rec
A2XDWB9NVYI3LQ,20-1,20.0,1000.0,0.0625,0.10416666666666666,0.75,False,True,0.6875,True,rec
A3026HLELYNW7U,20-1,20.0,1000.0,0.041666666666666664,0.0625,0.6875,False,True,0.6458333333333334,True,rec
A351P2O6QGTCS,20-1,20.0,1000.0,0.0,0.0,0.9722222222222222,False,True,0.9722222222222222,True,rec
A39R5EBK7W916X,20-1,20.0,1000.0,0.375,0.125,0.08333333333333333,True,False,-0.2916666666666667,False,rec
A3D9PJ37U7LCHE,20-1,20.0,1000.0,0.4375,0.1875,0.14583333333333331,True,False,-0.2916666666666667,False,rec
A3EVXSWHYA1PTT,20-1,20.0,1000.0,0.08333333333333333,0.0,0.875,True,True,0.7916666666666666,True,rec
A3GIUDSA1IGTFV,20-1,20.0,1000.0,0.38888888888888895,0.05555555555555555,0.3333333333333333,True,True,-0.055555555555555636,False,rec
A3HXK0UGS1YDMC,20-1,20.0,1000.0,0.6666666666666666,0.041666666666666664,0.08333333333333333,True,True,-0.5833333333333333,False,rec
A3ITZNJQUTIZ4C,20-1,20.0,1000.0,0.0,0.08333333333333333,0.9166666666666667,False,True,0.9166666666666667,True,rec
A3MHP4LZ3V88NF,20-1,20.0,1000.0,0.8125000000000001,0.041666666666666664,0.041666666666666664,True,False,-0.7708333333333335,False,rec
A3NRIEMOJVVX4A,20-1,20.0,1000.0,0.0625,0.0625,0.8541666666666666,False,True,0.7916666666666666,True,rec
A3PEV3KN6F7JRG,20-1,20.0,1000.0,0.375,0.24999999999999997,0.20833333333333331,True,False,-0.16666666666666669,False,rec
A3QKOYP52HYRH2,20-1,20.0,1000.0,0.12499999999999999,0.0625,0.5833333333333333,True,True,0.45833333333333326,True,rec
A3RFOODI4G4P4K,20-1,20.0,1000.0,0.020833333333333332,0.0,0.875,True,True,0.8541666666666666,True,rec
A3RHJEMZ4EGY2U,20-1,20.0,1000.0,0.020833333333333332,0.14583333333333331,0.8333333333333333,False,True,0.8124999999999999,True,rec
A3S76P3L3USWI1,20-1,20.0,1000.0,0.5946969696969697,0.041666666666666664,0.043560606060606064,True,True,-0.5511363636363636,False,rec
A3USPFFWN1G5PF,20-1,20.0,1000.0,0.041666666666666664,0.10416666666666666,0.7291666666666665,False,True,0.6874999999999999,True,rec
A50UY1556VDIA,20-1,20.0,1000.0,0.3920454545454544,0.1553030303030303,0.19696969696969696,True,True,-0.19507575757575746,False,rec
A7R1OLLU1Z6RA,20-1,20.0,1000.0,0.0,0.10416666666666666,0.8541666666666667,False,True,0.8541666666666667,True,rec
AC7CDW53I98JT,20-1,20.0,1000.0,0.5416666666666666,0.0,0.24999999999999997,True,True,-0.29166666666666663,False,rec
AEJU0MCYOQC77,20-1,20.0,1000.0,0.5555555555555556,0.1111111111111111,0.08333333333333333,True,False,-0.47222222222222227,False,rec
AHU3EE2Q05E18,20-1,20.0,1000.0,0.7291666666666665,0.020833333333333332,0.0,True,False,-0.7291666666666665,False,rec
AJD90361AJO80,20-1,20.0,1000.0,0.20833333333333334,0.12499999999999999,0.5,True,True,0.29166666666666663,True,rec
AK52RXEJKR81A,20-1,20.0,1000.0,0.47222222222222227,0.05555555555555555,0.4444444444444444,True,True,-0.027777777777777846,False,rec
AMJAZPJBO936R,20-1,20.0,1000.0,0.7291666666666667,0.08333333333333333,0.125,True,True,-0.6041666666666667,False,rec
AOQZVAH5FSKGE,20-1,20.0,1000.0,0.6875,0.041666666666666664,0.0,True,False,-0.6875,False,rec
AQCJI23U1VBYD,20-1,20.0,1000.0,0.5833333333333334,0.0625,0.0,True,False,-0.5833333333333334,False,rec
AQPFTUIJ0PW2N,20-1,20.0,1000.0,0.4444444444444444,0.1111111111111111,0.0,True,False,-0.4444444444444444,False,rec
AXFCUZ1WQC2WY,20-1,20.0,1000.0,0.5,0.08333333333333333,0.2777777777777778,True,True,-0.2222222222222222,False,rec
AY7M9MOLNXIIK,20-1,20.0,1000.0,0.33333333333333337,0.041666666666666664,0.1875,True,True,-0.14583333333333337,False,rec
AZZA3J049G7R5,20-1,20.0,1000.0,0.16666666666666666,0.08333333333333333,0.6249999999999999,True,True,0.45833333333333326,True,rec
A102RSV009OCUW,15-2,15.0,2000.0,0.8541666666666666,0.0,0.041666666666666664,True,True,-0.8125,False,prim
A11BHGAKU0RIH8,15-2,15.0,2000.0,0.20833333333333331,0.08333333333333333,0.625,True,True,0.4166666666666667,True,prim
A13GBA16BNTN1A,15-2,15.0,2000.0,0.0,0.020833333333333332,0.8749999999999999,False,True,0.8749999999999999,True,prim
A13THDIE8LTQ11,15-2,15.0,2000.0,0.20833333333333331,0.0625,0.47916666666666663,True,True,0.2708333333333333,True,prim
A150QX2OXHGK8P,15-2,15.0,2000.0,0.1875,0.020833333333333332,0.5833333333333334,True,True,0.39583333333333337,True,prim
A151XA53WYXVD7,15-2,15.0,2000.0,0.6458333333333333,0.0,0.08333333333333333,True,True,-0.5624999999999999,False,prim
A1618RA11ZOD8Y,15-2,15.0,2000.0,0.1515151515151515,0.1515151515151515,0.5473484848484849,False,True,0.39583333333333337,True,prim
A19X8IA9EKC3XH,15-2,15.0,2000.0,0.041666666666666664,0.7499999999999999,0.14583333333333334,False,False,0.10416666666666669,True,prim
A1CFMY4CEYOM8Y,15-2,15.0,2000.0,0.0625,0.12499999999999999,0.7500000000000001,False,True,0.6875000000000001,True,prim
A1E0K2VGY2684V,15-2,15.0,2000.0,0.3333333333333333,0.0625,0.24999999999999997,True,True,-0.08333333333333334,False,prim
A1NQOR4RQJJDMW,15-2,15.0,2000.0,0.4791666666666667,0.0625,0.4583333333333333,True,True,-0.02083333333333337,False,prim
A1PZIN8H1VI6SY,15-2,15.0,2000.0,0.5277777777777778,0.027777777777777776,0.0,True,False,-0.5277777777777778,False,prim
A1QRIZY9WJW3R1,15-2,15.0,2000.0,0.8125,0.020833333333333332,0.0,True,False,-0.8125,False,prim
A1QXJZFA5NVGM3,15-2,15.0,2000.0,0.7916666666666666,0.0,0.0,True,False,-0.7916666666666666,False,prim
A1ROEDVMTO9Y3X,15-2,15.0,2000.0,0.4375,0.0,0.5,True,True,0.0625,True,prim
A1SCF3L6LTFQHF,15-2,15.0,2000.0,0.7708333333333334,0.0,0.0,True,False,-0.7708333333333334,False,prim
A1T7EB1WEDCMXV,15-2,15.0,2000.0,0.14583333333333334,0.20833333333333331,0.6458333333333333,False,True,0.4999999999999999,True,prim
A1TR2AOKWGQ78A,15-2,15.0,2000.0,0.5732323232323232,0.11363636363636363,0.19949494949494948,True,True,-0.3737373737373737,False,prim
A1UOP419O6P55R,15-2,15.0,2000.0,0.6944444444444444,0.0,0.05555555555555555,True,True,-0.6388888888888888,False,prim
A1WM3INNDW2776,15-2,15.0,2000.0,0.3333333333333333,0.020833333333333332,0.43749999999999994,True,True,0.10416666666666663,True,prim
A1Z82Y9E6YWY80,15-2,15.0,2000.0,0.16666666666666666,0.0625,0.3333333333333333,True,True,0.16666666666666666,True,prim
A2113B699TVADG,15-2,15.0,2000.0,0.8333333333333333,0.0,0.0,True,False,-0.8333333333333333,False,prim
A219SZBLCCCXN9,15-2,15.0,2000.0,0.5208333333333334,0.041666666666666664,0.08333333333333333,True,True,-0.43750000000000006,False,prim
A22GYYJXTS5KBH,15-2,15.0,2000.0,0.5,0.05555555555555555,0.2222222222222222,True,True,-0.2777777777777778,False,prim
A22Y78RVB8UFTD,15-2,15.0,2000.0,0.5,0.041666666666666664,0.375,True,True,-0.125,False,prim
A233LLG8YAXWF,15-2,15.0,2000.0,0.0625,0.08333333333333333,0.8541666666666666,False,True,0.7916666666666666,True,prim
A24GX1OZE6AY04,15-2,15.0,2000.0,0.0,0.33333333333333326,0.6458333333333334,False,True,0.6458333333333334,True,prim
A26MT7KJ7NJLRN,15-2,15.0,2000.0,0.2708333333333333,0.24999999999999997,0.43749999999999994,True,True,0.16666666666666663,True,prim
A26T0U2Y6LZOF3,15-2,15.0,2000.0,0.0,0.08333333333333333,0.37500000000000006,False,True,0.37500000000000006,True,prim
A29J4LL0MQL3AC,15-2,15.0,2000.0,0.8541666666666666,0.020833333333333332,0.0,True,False,-0.8541666666666666,False,prim
A2G4R0GS677RC2,15-2,15.0,2000.0,0.041666666666666664,0.0,0.4583333333333333,True,True,0.41666666666666663,True,prim
A2IV3SSVTU90BN,15-2,15.0,2000.0,0.375,0.14583333333333331,0.39583333333333337,True,True,0.02083333333333337,True,prim
A2KZN3UH5NGC9,15-2,15.0,2000.0,0.12499999999999999,0.16666666666666669,0.6041666666666667,False,True,0.47916666666666674,True,prim
A2MBFIAGBPU5NG,15-2,15.0,2000.0,0.5416666666666667,0.041666666666666664,0.16666666666666666,True,True,-0.3750000000000001,False,prim
A2O86E23R5T4YO,15-2,15.0,2000.0,0.7026515151515152,0.0,0.020833333333333332,True,True,-0.6818181818181819,False,prim
A2PTABUVOUYAH5,15-2,15.0,2000.0,0.14583333333333331,0.1875,0.6458333333333333,False,True,0.49999999999999994,True,prim
A2R75YFKVALBXE,15-2,15.0,2000.0,0.0,0.08333333333333333,0.9166666666666666,False,True,0.9166666666666666,True,prim
A2RU1Q3C9VHBAO,15-2,15.0,2000.0,0.7916666666666666,0.020833333333333332,0.14583333333333334,True,True,-0.6458333333333333,False,prim
A2RVG8Y97DE0GM,15-2,15.0,2000.0,0.6875,0.0,0.0,True,False,-0.6875,False,prim
A2UJ9GDNVPX99C,15-2,15.0,2000.0,0.6666666666666667,0.020833333333333332,0.0,True,False,-0.6666666666666667,False,prim
A2UYZFH5VT5R3H,15-2,15.0,2000.0,0.020833333333333332,0.020833333333333332,0.9583333333333335,False,True,0.9375000000000001,True,prim
A2Y8LZS5C81O25,15-2,15.0,2000.0,0.7708333333333333,0.0625,0.020833333333333332,True,False,-0.7499999999999999,False,prim
A30NL5N71G2YAU,15-2,15.0,2000.0,0.20833333333333334,0.020833333333333332,0.4375,True,True,0.22916666666666666,True,prim
A310Y949ILSN3P,15-2,15.0,2000.0,0.7708333333333333,0.0,0.020833333333333332,True,True,-0.7499999999999999,False,prim
A31P78W9ZCQXCS,15-2,15.0,2000.0,0.4791666666666667,0.08333333333333333,0.20833333333333331,True,True,-0.27083333333333337,False,prim
A347RDI3HZOUCY,15-2,15.0,2000.0,0.875,0.0,0.0,True,False,-0.875,False,prim
A34HQHGLIW1FYS,15-2,15.0,2000.0,0.2708333333333333,0.0625,0.41666666666666663,True,True,0.14583333333333331,True,prim
A34IPEKX5WXJIN,15-2,15.0,2000.0,0.7348484848484849,0.020833333333333332,0.045454545454545456,True,True,-0.6893939393939394,False,prim
A34YNEN8UUI3CD,15-2,15.0,2000.0,0.25,0.3333333333333333,0.3958333333333333,False,True,0.14583333333333331,True,prim
A35VI4SE31HD17,15-2,15.0,2000.0,0.5416666666666667,0.0625,0.041666666666666664,True,False,-0.5000000000000001,False,prim
A36S0DI86PL4J6,15-2,15.0,2000.0,0.5208333333333334,0.0,0.12499999999999999,True,True,-0.39583333333333337,False,prim
A384KX8MUIJSTJ,15-2,15.0,2000.0,0.4375,0.12499999999999999,0.1875,True,True,-0.25,False,prim
A38DHLB88V8DL8,15-2,15.0,2000.0,0.020833333333333332,0.020833333333333332,0.9374999999999999,False,True,0.9166666666666665,True,prim
A3AWQ3AACIPXM2,15-2,15.0,2000.0,0.08333333333333333,0.041666666666666664,0.25,True,True,0.16666666666666669,True,prim
A3BA2WMGN6KHUU,15-2,15.0,2000.0,0.5,0.10416666666666666,0.16666666666666666,True,True,-0.33333333333333337,False,prim
A3BN69Q9D7RQGR,15-2,15.0,2000.0,0.10416666666666666,0.0625,0.20833333333333331,True,True,0.10416666666666666,True,prim
A3C25IBTLB60RQ,15-2,15.0,2000.0,0.6022727272727272,0.045454545454545456,0.21590909090909094,True,True,-0.38636363636363624,False,prim
A3FOKP72T5I4FR,15-2,15.0,2000.0,0.29166666666666663,0.24999999999999997,0.4166666666666667,True,True,0.12500000000000006,True,prim
A3HBB9JT9WVZS4,15-2,15.0,2000.0,0.29166666666666663,0.14583333333333331,0.3125,True,True,0.02083333333333337,True,prim
A3HOPYBWSR1TWR,15-2,15.0,2000.0,0.7234848484848485,0.0,0.0,True,False,-0.7234848484848485,False,prim
A3IBDJ12CRTQQN,15-2,15.0,2000.0,0.8522727272727273,0.020833333333333332,0.022727272727272728,True,True,-0.8295454545454546,False,prim
A3IHTJXHWPQ2JR,15-2,15.0,2000.0,0.10416666666666666,0.0,0.8125,True,True,0.7083333333333334,True,prim
A3MWLHSW9B9RHU,15-2,15.0,2000.0,0.6875,0.0,0.0,True,False,-0.6875,False,prim
