subject,strategy,condition,l_length,pres_rate,ncr,tr_1,tr_2,tr_3,tr_4,tr_5,tr_6,tr_7,tr_8,tr_9,tr_10,tr_11,tr_12,tr_13,tr_14,tr_15,tr_16,tr_17,tr_18,tr_19,tr_20,tr_21,tr_22,tr_23,tr_24,tr_25,tr_26,tr_27
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,5,2953.8800000349684,3139.2374999523163,3366.2300000190735,2204.9766666014993,,,,,,,,,,,,,,,,,,,,,,,
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,6,2465.816666682561,2716.7833334207535,2728.783333321412,2680.5833333730698,2674.850000023842,,,,,,,,,,,,,,,,,,,,,,
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,7,3580.200000047684,2823.599999904633,2330.800000190735,3161.0,2842.7999999523163,2714.0,,,,,,,,,,,,,,,,,,,,,
A1NG504QI5LI62,prim,10-2,10.0,2000.0,3,,4726.0,,,,,,,,,,,,,,,,,,,,,,,,,
A1NG504QI5LI62,prim,10-2,10.0,2000.0,4,,,3594.0,,,,,,,,,,,,,,,,,,,,,,,,
A1NG504QI5LI62,prim,10-2,10.0,2000.0,5,3511.1666666666665,4169.333333333333,5559.5,2328.0,,,,,,,,,,,,,,,,,,,,,,,
A1NG504QI5LI62,prim,10-2,10.0,2000.0,6,5177.0,4620.5,4021.0,2824.444444444445,3282.0,,,,,,,,,,,,,,,,,,,,,,
A1NG504QI5LI62,prim,10-2,10.0,2000.0,7,3646.8125,4273.75,4489.5,4209.575,3484.4583333333335,3544.6875,,,,,,,,,,,,,,,,,,,,,
A1NG504QI5LI62,prim,10-2,10.0,2000.0,8,8039.083333333333,3644.8125,3569.15,4264.166666666667,3754.654166666667,5065.049999999999,4324.616666666667,,,,,,,,,,,,,,,,,,,,
A1NG504QI5LI62,prim,10-2,10.0,2000.0,9,8205.0,2736.5,9205.0,2805.5,4971.0,8945.0,4740.5,2145.0,,,,,,,,,,,,,,,,,,,
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,2,8444.75,,,,,,,,,,,,,,,,,,,,,,,,,,
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,3,3820.0,3831.416666666667,,,,,,,,,,,,,,,,,,,,,,,,,
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,4,5728.666666666667,4364.0,4090.2083333333335,,,,,,,,,,,,,,,,,,,,,,,,
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,5,3632.0,3103.75,10028.5,2765.125,,,,,,,,,,,,,,,,,,,,,,,
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,6,3005.5,3012.0,5754.0,5690.0,5011.0,,,,,,,,,,,,,,,,,,,,,,
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,7,,,2957.0,5670.0,3074.0,2549.0,,,,,,,,,,,,,,,,,,,,,
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,2,8625.500000059605,,,,,,,,,,,,,,,,,,,,,,,,,,
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,3,14552.650000005959,9632.775000035765,,,,,,,,,,,,,,,,,,,,,,,,,
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,4,7541.899999991059,3120.5,9501.850000053644,,,,,,,,,,,,,,,,,,,,,,,,
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,5,2390.349999984105,3670.0249999811253,3128.874999980132,14785.899999986092,,,,,,,,,,,,,,,,,,,,,,,
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,6,4939.925000026822,1820.2000000178814,2805.8250000029802,3840.9249999821186,3586.8750000298023,,,,,,,,,,,,,,,,,,,,,,
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,3,2324.0,,,,,,,,,,,,,,,,,,,,,,,,,,
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,4,3216.5833333351957,3581.5125000015832,3206.4333333354443,,,,,,,,,,,,,,,,,,,,,,,,
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,5,2857.9700000018347,2942.5699999999256,4109.566666668406,12945.69000000041,,,,,,,,,,,,,,,,,,,,,,,
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,6,2075.7250000010245,2419.2000000015832,3154.6749999970198,3548.266666664121,8509.425000000123,,,,,,,,,,,,,,,,,,,,,,
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,7,1353.5,2938.300000000745,4284.800000000745,3474.7999999988824,2791.4000000003725,1989.699999999255,,,,,,,,,,,,,,,,,,,,,
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,4,2156.3250000001863,3016.6374999999534,22375.94444444444,,,,,,,,,,,,,,,,,,,,,,,,
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,5,2655.37916666669,3408.8499999999185,3585.1208333333097,6691.42499999994,,,,,,,,,,,,,,,,,,,,,,,
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,6,2456.141666666682,2642.8166666665543,4879.808333333272,6786.688333333334,11663.091666666733,,,,,,,,,,,,,,,,,,,,,,
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,7,2061.858333333376,2880.0250000000815,3669.658333333442,3230.0041666666903,7750.016666666634,7468.691666666709,,,,,,,,,,,,,,,,,,,,,
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,8,2835.599999999814,1868.1999999999534,2722.6200000000185,4963.090000000037,6047.84000000013,11041.729999999889,8269.837500000023,,,,,,,,,,,,,,,,,,,,
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,10,2171.5,2004.100000000093,1843.30000000028,2804.0,1692.4000000003723,2051.600000000093,9819.700000000186,7924.200000000186,19620.69999999972,,,,,,,,,,,,,,,,,,
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,3,10752.0,3804.0,,,,,,,,,,,,,,,,,,,,,,,,,
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,4,2454.5,7709.0,6040.5,,,,,,,,,,,,,,,,,,,,,,,,
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,5,4051.6666666666665,3567.3333333333335,3361.833333333333,6074.38888888889,,,,,,,,,,,,,,,,,,,,,,,
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,6,4798.375,4323.583333333334,4387.333333333333,3805.444444444445,5638.625,,,,,,,,,,,,,,,,,,,,,,
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,7,3039.25,6074.666666666667,5523.5,3888.875,3611.625,3511.75,,,,,,,,,,,,,,,,,,,,,
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,8,3834.0,3614.0,2487.3333333333335,2327.0,2241.3333333333335,2796.0,2955.0,,,,,,,,,,,,,,,,,,,,
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,9,7240.0,2327.0,2025.0,2890.0,3220.0,3232.0,,4136.0,,,,,,,,,,,,,,,,,,,
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,10,3995.0,4977.0,3336.0,3042.0,6424.0,4715.0,5200.0,1901.0,2851.0,,,,,,,,,,,,,,,,,,
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,4,2753.0666666664183,2713.0250000003725,4302.883333329111,,,,,,,,,,,,,,,,,,,,,,,,
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,5,2716.8666666572294,3165.2999999877065,3428.833333340784,3159.125,,,,,,,,,,,,,,,,,,,,,,,
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,6,2522.700000006085,2738.1375000017383,3231.583333328987,4596.443750000249,4222.572916674117,,,,,,,,,,,,,,,,,,,,,,
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,7,2627.6124999982617,2358.0791666653627,2361.170833324082,5407.974999998386,10614.641666661948,8409.229166674118,,,,,,,,,,,,,,,,,,,,,
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,8,3365.4762499959206,2757.7300000006335,2642.1275000009687,7263.930000001099,3088.5000000088476,6947.437500002701,4333.103749988508,,,,,,,,,,,,,,,,,,,,
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,9,2136.5,2248.900000035763,1971.0999999642368,1806.5,2403.099999964237,,6041.800000011921,1718.9000000357628,,,,,,,,,,,,,,,,,,,
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,10,2312.3500000163913,2444.39999999851,1981.2500000074506,5756.400000013411,3427.0999999940395,4360.54999999702,2645.300000011921,30552.09999998659,11128.050000011921,,,,,,,,,,,,,,,,,,
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,3,,5094.60000000149,,,,,,,,,,,,,,,,,,,,,,,,,
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,4,2964.7499999031425,3957.325000036508,3603.649999976158,,,,,,,,,,,,,,,,,,,,,,,,
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,5,2328.783333347489,2200.1833333348236,3125.66249996641,6903.266666659051,,,,,,,,,,,,,,,,,,,,,,,
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,6,2085.740595244439,2469.8384523855343,2962.731428557155,3484.440119040997,3594.423690469164,,,,,,,,,,,,,,,,,,,,,,
