subject,strategy,condition,l_length,pres_rate,tcl
A11BHGAKU0RIH8,rec,15-2,15.0,2000.0,0.8063665743427648
A13GBA16BNTN1A,rec,15-2,15.0,2000.0,0.6738066717233383
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,0.7859464972857829
A150QX2OXHGK8P,rec,15-2,15.0,2000.0,0.7086802630577995
A151XA53WYXVD7,prim,15-2,15.0,2000.0,0.8174143397796221
A1618RA11ZOD8Y,rec,15-2,15.0,2000.0,0.7140449043751103
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,0.7330593545776194
A1CFMY4CEYOM8Y,rec,15-2,15.0,2000.0,0.7240752691297199
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,0.7617105622464456
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,0.8487398914033565
A1PZIN8H1VI6SY,prim,15-2,15.0,2000.0,0.9023737047717928
A1QRIZY9WJW3R1,prim,15-2,15.0,2000.0,0.8915156523737873
A1QXJZFA5NVGM3,prim,15-2,15.0,2000.0,0.9562914295801201
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,0.8225869705257332
A1SCF3L6LTFQHF,prim,15-2,15.0,2000.0,0.9692760074131112
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,0.7641369852865388
